GpsCycle,GpsWeek,GpsTow,Time::TimeStartup,Time::GpsTow,Time::GpsWeek,Time::TimeUtc::year,Time::TimeUtc::month,Time::TimeUtc::day,Time::TimeUtc::hour,Time::TimeUtc::min,Time::TimeUtc::sec,Time::TimeUtc::ms,Time::TimeStatus::timeOk,Time::TimeStatus::dateOk,Time::TimeStatus::utcTimeValid,GNSS1::UTC::year,GNSS1::UTC::month,GNSS1::UTC::day,GNSS1::UTC::hour,GNSS1::UTC::min,GNSS1::UTC::sec,GNSS1::UTC::ms,GNSS1::Tow,GNSS1::Week,GNSS1::NumSats,GNSS1::Fix,GNSS1::PosLla::latitude,GNSS1::PosLla::longitude,GNSS1::PosLla::altitude,GNSS1::PosEcef::X,GNSS1::PosEcef::Y,GNSS1::PosEcef::Z,GNSS1::VelNed::N,GNSS1::VelNed::E,GNSS1::VelNed::D,GNSS1::VelEcef::X,GNSS1::VelEcef::Y,GNSS1::VelEcef::Z,GNSS1::PosU::N,GNSS1::PosU::E,GNSS1::PosU::D,GNSS1::VelU,GNSS1::TimeU,GNSS1::TimeInfo::Status::timeOk,GNSS1::TimeInfo::Status::dateOk,GNSS1::TimeInfo::Status::utcTimeValid,GNSS1::TimeInfo::LeapSeconds,GNSS1::gDOP,GNSS1::pDOP,GNSS1::tDOP,GNSS1::vDOP,GNSS1::hDOP,GNSS1::nDOP,GNSS1::eDOP,Att::YawPitchRoll::Y,Att::YawPitchRoll::P,Att::YawPitchRoll::R,Att::Quaternion::w,Att::Quaternion::x,Att::Quaternion::y,Att::Quaternion::z,Att::YprU::Y,Att::YprU::P,Att::YprU::R,INS::InsStatus::Mode,INS::InsStatus::GpsFix,INS::InsStatus::Error::IMU,INS::InsStatus::Error::MagPres,INS::InsStatus::Error::GNSS,INS::InsStatus::GpsHeadingIns,INS::InsStatus::GpsCompass,INS::PosLla::latitude,INS::PosLla::longitude,INS::PosLla::altitude,INS::PosEcef::X,INS::PosEcef::Y,INS::PosEcef::Z,INS::VelBody::X,INS::VelBody::Y,INS::VelBody::Z,INS::VelNed::N,INS::VelNed::E,INS::VelNed::D,INS::VelEcef::X,INS::VelEcef::Y,INS::VelEcef::Z,INS::MagEcef::X,INS::MagEcef::Y,INS::MagEcef::Z,INS::AccelEcef::X,INS::AccelEcef::Y,INS::AccelEcef::Z,INS::LinearAccelEcef::,INS::LinearAccelEcef::Y,INS::LinearAccelEcef::Z,INS::PosU,INS::VelU,GNSS2::UTC::year,GNSS2::UTC::month,GNSS2::UTC::day,GNSS2::UTC::hour,GNSS2::UTC::min,GNSS2::UTC::sec,GNSS2::UTC::ms,GNSS2::Tow,GNSS2::Week,GNSS2::NumSats,GNSS2::Fix,GNSS2::PosLla::latitude,GNSS2::PosLla::longitude,GNSS2::PosLla::altitude,GNSS2::PosEcef::X,GNSS2::PosEcef::Y,GNSS2::PosEcef::Z,GNSS2::VelNed::N,GNSS2::VelNed::E,GNSS2::VelNed::D,GNSS2::VelEcef::X,GNSS2::VelEcef::Y,GNSS2::VelEcef::Z,GNSS2::PosU::N,GNSS2::PosU::E,GNSS2::PosU::D,GNSS2::VelU,GNSS2::TimeU,GNSS2::TimeInfo::Status::timeOk,GNSS2::TimeInfo::Status::dateOk,GNSS2::TimeInfo::Status::utcTimeValid,GNSS2::TimeInfo::LeapSeconds,GNSS2::gDOP,GNSS2::pDOP,GNSS2::tDOP,GNSS2::vDOP,GNSS2::hDOP,GNSS2::nDOP,GNSS2::eDOP
2,117,201354.25578,383742505000,201354255779505,2165,21,7,6,7,55,36,256,1,1,1,21,7,6,7,55,36,199,201354199829578,2165,13,4,48.739933470999993,8.9213974709999988,534.93600000000004,4163583.9358999999,653592.98759999999,4771937.3366999999,0.017000001,-0.0060000001,-0.037,0.01241126,-0.0041251774,0.039024912,1.6257498,1.2024833,3.3373289,0.25920001,9.9999997e-10,1,1,1,18,1.8499999,1.5899999,0.94,1.3399999,0.84999996,0.68000001,0.51999998,-76.814896,88.291878,18.631254,-0.4848386,-0.51800698,-0.46641758,0.52825654,20.00116,0.021383908,0.021438273,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4712347,-0.26414567,-0.91555333,6.3882542,1.0106541,7.3827591,-0.0017155367,0.0074940557,0.0096954089,0,0,21,7,6,7,55,36,0,201354000487578,2165,12,4,48.739936513171322,8.9214000956386084,534.1912879133597,4163583.1699999999,653593.06000000006,4771937,-0.0080000004,-0.0070000002,-0.024,0.02,0,0.0099999998,1.6747847,1.3719282,3.7571421,0.35040003,5.0999997e-08,1,1,1,18,2.05,1.75,1.05,1.4699999,0.94999999,0.79999995,0.51999998
2,117,201354.455779,383942505000,201354455779314,2165,21,7,6,7,55,36,456,1,1,1,21,7,6,7,55,36,399,201354399829600,2165,13,4,48.739933482999994,8.9213974829999998,534.94369999999992,4163583.9397,653592.98970000003,4771937.3433999997,0.017999999,0.015,-0.035999998,0.0077604651,0.016401917,0.038932659,1.625806,1.2025626,3.3378189,0.25680003,9.9999997e-10,1,1,1,18,1.8499999,1.5899999,0.94,1.3399999,0.84999996,0.68000001,0.51999998,-76.807152,88.28936,18.585075,-0.48509532,-0.51777291,-0.46665254,0.52804267,19.893528,0.021452824,0.021590622,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4834146,-0.2553333,-0.90464646,6.388391,0.99628824,7.3697734,-0.0015789298,-0.0068717911,-0.0032901578,0,0,21,7,6,7,55,36,200,201354200487668,2165,12,4,48.739936513171322,8.9214000956386084,534.1912879133597,4163583.1699999999,653593.06000000006,4771937,0.0040000002,-0.0040000002,0.003,0,0,0,1.6741993,1.371361,3.7556634,0.28480002,5.0999997e-08,1,1,1,18,2.05,1.75,1.05,1.4699999,0.94999999,0.79999995,0.51999998
2,117,201354.655779,384142505000,201354655779362,2165,21,7,6,7,55,36,656,1,1,1,21,7,6,7,55,36,599,201354599829622,2165,13,4,48.739933473000001,8.9213975730000001,534.94640000000004,4163583.9419999998,653592.99249999993,4771937.3447000002,0,0.0070000002,-0.017999999,0.010641438,0.0087561989,0.013531029,1.6262094,1.2030076,3.3384912,0.23040001,9.9999997e-10,1,1,1,18,1.8499999,1.5899999,0.94,1.3399999,0.84999996,0.68000001,0.51999998,-76.756851,88.295547,18.631683,-0.48508531,-0.51778334,-0.46669737,0.5280022,19.906603,0.021580039,0.021640358,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.82296324,-0.13507923,-0.48899907,6.3870826,1.0002962,7.3776503,-0.0028871256,-0.0028638055,0.0045867306,0,0,21,7,6,7,55,36,400,201354400487759,2165,12,4,48.739936569463936,8.9214002510233676,534.18579563312232,4163583.1600000001,653593.07000000007,4771937,0.0070000002,0.0020000001,-0.034000002,0.02,0,0.029999999,1.6738122,1.3714164,3.7539411,0.41760001,5.0999997e-08,1,1,1,18,2.05,1.75,1.05,1.4699999,0.94999999,0.79999995,0.51999998
2,117,201354.855779,384342505000,201354855779409,2165,21,7,6,7,55,36,856,1,1,1,21,7,6,7,55,36,799,201354799829644,2165,13,4,48.739933456999999,8.9213975569999988,534.94849999999997,4163583.9443999999,653592.99439999997,4771937.3450000007,0.0049999999,0.0020000001,-0.026000001,0.012915684,0.0040519754,0.022842212,1.627009,1.2037228,3.3401134,0.27120003,9.9999997e-10,1,1,1,18,1.8499999,1.5899999,0.94,1.3399999,0.84999996,0.68000001,0.51999998,-76.805542,88.288445,18.581007,-0.48512706,-0.51774579,-0.46667239,0.52802271,19.91926,0.021564094,0.021785624,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.81746644,-0.13781992,-0.49650246,6.3931365,1.0041375,7.3731017,0.0031666609,0.00097737915,3.7922873e-05,0,0,21,7,6,7,55,36,600,201354600487850,2165,12,4,48.739936576940671,8.9214002721059273,534.17176339868456,4163583.1499999999,653593.07000000007,4771936.9900000002,0.0020000001,0.012,-0.024,0.0099999998,0.0099999998,0.02,1.6733234,1.3708857,3.7525444,0.39680001,5.0999997e-08,1,1,1,18,2.05,1.75,1.05,1.4699999,0.94999999,0.79999995,0.51999998
2,117,201355.055785,384542505000,201355055785418,2165,21,7,6,7,55,37,56,1,1,1,21,7,6,7,55,37,0,201354999829666,2165,13,4,48.739933442000002,8.9213976420000005,534.95400000000006,4163583.949,653592.99639999995,4771937.348100001,-0.0020000001,0.0020000001,-0.0070000002,0.0057355985,0.0029248572,0.0039431117,1.6278884,1.2044423,3.3421502,0.19920002,9.9999997e-10,1,1,1,18,1.8499999,1.5899999,0.94,1.3399999,0.84999996,0.68000001,0.51999998,-76.736816,88.292229,18.647812,-0.48512191,-0.51776004,-0.46669641,0.52799219,19.932285,0.021649245,0.021940712,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.82055479,-0.13465041,-0.49289179,6.3903809,1.0039636,7.3702168,0.00041105261,0.0008034925,-0.0028468184,0,0,21,7,6,7,55,36,800,201354800487940,2165,12,4,48.739936584417407,8.921400293188487,534.15773116331547,4163583.1400000001,653593.07000000007,4771936.9800000004,-0.041999999,-0.011,0.02,0.02,-0.0099999998,-0.039999999,1.6729012,1.3704113,3.751267,0.35520002,5.0999997e-08,1,1,1,18,2.05,1.75,1.05,1.4699999,0.94999999,0.79999995,0.51999998
2,117,201355.255785,384742505000,201355255785465,2165,21,7,6,7,55,37,256,1,1,1,21,7,6,7,55,37,199,201355199829687,2165,13,4,48.739933418,8.9213976180000003,534.95550000000003,4163583.9517000001,653592.99890000001,4771937.3475000001,-0.003,0.012,-0.017999999,0.012093931,0.01404544,0.011552596,1.6285322,1.2050457,3.3440988,0.24000001,9.9999997e-10,1,1,1,18,1.8499999,1.5899999,0.94,1.3399999,0.84999996,0.68000001,0.51999998,-76.723808,88.289474,18.659706,-0.48514268,-0.51774913,-0.46668509,0.52799386,19.94418,0.021649832,0.021898668,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.81432748,-0.14218247,-0.4924261,6.3879528,1.013431,7.3667517,-0.0020172128,0.010270871,-0.0063120252,0,0,21,7,6,7,55,37,0,201355000488031,2165,12,4,48.739936591894143,8.921400314271045,534.14369892701507,4163583.1299999999,653593.07000000007,4771936.9699999997,-0.023,-0.017999999,0.048999999,-0.0099999998,-0.02,-0.049999997,1.6725075,1.369952,3.7500467,0.40640002,5.0999997e-08,1,1,1,18,2.05,1.75,1.05,1.4699999,0.94999999,0.79999995,0.51999998
2,117,201355.455785,384942505000,201355455785275,2165,21,7,6,7,55,37,456,1,1,1,21,7,6,7,55,37,399,201355399829709,2165,13,4,48.739933411000003,8.9213977109999991,534.95400000000006,4163583.9510000004,653593.00060000003,4771937.3458000002,0.011,0.003,0.018999999,-0.021012656,-0.00026179454,-0.0070284964,1.6287439,1.2052977,3.3458352,0.24240002,9.9999997e-10,1,1,1,18,1.8499999,1.5899999,0.94,1.3399999,0.84999996,0.68000001,0.51999998,-76.832726,88.282166,18.549393,-0.48517933,-0.51770258,-0.46666044,0.52802771,19.956783,0.021629456,0.021918546,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.80526501,-0.14335416,-0.47774607,6.3819795,1.0003847,7.3756151,-0.0079903528,-0.0027753897,0.0025515272,0,0,21,7,6,7,55,37,200,201355200488122,2165,12,4,48.73993652211383,8.9214004485732463,534.13720440119505,4163583.1299999999,653593.07999999996,4771936.96,-0.025,-0.028000001,0.106,-0.049999997,-0.039999999,-0.099999994,1.6721745,1.369543,3.7488806,0.4032,5.0999997e-08,1,1,1,18,2.05,1.75,1.05,1.4699999,0.94999999,0.79999995,0.51999998
2,117,201355.655784,385142504000,201355655784369,2165,21,7,6,7,55,37,656,1,1,1,21,7,6,7,55,37,599,201355599829731,2165,13,4,48.739933422999997,8.9213977230000001,534.95799999999997,4163583.9522000002,653593.00360000005,4771937.3497000001,0.011,0.016000001,-0.037999999,0.014106791,0.0184104,0.035819765,1.6289883,1.2055601,3.3471904,0.26400003,9.9999997e-10,1,1,1,18,1.8499999,1.5899999,0.94,1.3399999,0.84999996,0.68000001,0.51999998,-76.720963,88.291992,18.651789,-0.48517784,-0.51771206,-0.46674749,0.52794272,19.969444,0.021676892,0.02178612,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.81130201,-0.14220285,-0.49030989,6.3901892,1.0051113,7.368721,0.00021898875,0.0019512242,-0.0043423967,0,0,21,7,6,7,55,37,400,201355400488212,2165,12,4,48.739936540072783,8.9214003353536047,534.12214945349842,4163583.1200000001,653593.07000000007,4771936.9500000002,-0.0060000001,-0.022,0.071999997,-0.039999999,-0.029999999,-0.059999999,1.6724085,1.3698326,3.747828,0.39680001,5.0999997e-08,1,1,1,18,2.05,1.75,1.05,1.4699999,0.94999999,0.79999995,0.51999998
2,117,201355.855785,385342505000,201355855785370,2165,21,7,6,7,55,37,856,1,1,1,21,7,6,7,55,37,799,201355799829753,2165,13,4,48.739933418999996,8.9213977189999998,534.96119999999996,4163583.9542,653593.00679999997,4771937.3518000003,-0.0060000001,0.0070000002,-0.056000002,0.039854202,0.013341973,0.038139671,1.6292624,1.2058238,3.3487351,0.26880002,9.9999997e-10,1,1,1,18,1.8499999,1.5899999,0.94,1.3399999,0.84999996,0.68000001,0.51999998,-76.597618,88.297508,18.738388,-0.48532569,-0.51759291,-0.46693602,0.52775693,19.982298,0.021626612,0.0217005,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.81212533,-0.14062133,-0.48264855,6.3877044,1.002597,7.3672862,-0.0022655139,-0.00056325988,-0.0057773264,0,0,21,7,6,7,55,37,600,201355600488303,2165,12,4,48.739936488251438,8.9214003564361626,534.10059997905046,4163583.1099999999,653593.07000000007,4771936.9299999997,-0.026000001,-0.0049999999,-0.044,0.049999997,0,0.02,1.6721253,1.3694524,3.746835,0.32640001,5.0999997e-08,1,1,1,18,2.05,1.75,1.05,1.4699999,0.94999999,0.79999995,0.51999998
2,117,201356.055792,385542505000,201356055791616,2165,21,7,6,7,55,38,56,1,1,1,21,7,6,7,55,38,0,201355999829775,2165,13,4,48.739933418999996,8.9213977189999998,534.9692,4163583.9591999999,653593.00879999995,4771937.3578000003,0.0080000004,0,0.0020000001,-0.0072440365,-0.0011371572,0.0037723756,1.6294904,1.2058778,3.3503881,0.17760001,9.9999997e-10,1,1,1,18,1.8499999,1.5899999,0.94,1.3399999,0.84999996,0.68000001,0.51999998,-76.552361,88.289017,18.707169,-0.48572156,-0.51724952,-0.46723685,0.52746314,19.995022,0.021712882,0.02171897,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8259688,-0.13077044,-0.49387172,6.3843813,0.988864,7.3700004,-0.0055881916,-0.014296128,-0.0030629484,0,0,21,7,6,7,55,37,800,201355800488394,2165,12,4,48.739936421476607,8.9214003353536047,534.1071149725467,4163583.1200000001,653593.07000000007,4771936.9299999997,-0.024,-0.017000001,0.046999998,-0.0099999998,-0.02,-0.049999997,1.6718985,1.369122,3.7459211,0.39840004,5.0999997e-08,1,1,1,18,2.05,1.75,1.05,1.4699999,0.94999999,0.79999995,0.51999998
